COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
0.0,325.0,10.0,0.0,0.0,18.0
0.0,414.0,0.0,0.0,0.0,11.0
93.0,1710.0,80.0,41.0,0.0,138.0
783.0,11339.0,840.0,330.0,37.0,1326.0
1356.0,19996.0,1396.0,427.0,93.0,2416.0
0.0,331.0,0.0,0.0,0.0,12.0
14.0,553.0,16.0,0.0,0.0,24.0
141.0,1969.0,111.0,58.0,0.0,203.0
920.0,10852.0,882.0,427.0,42.0,1413.0
1326.0,16926.0,1284.0,503.0,77.0,2178.0
10.0,518.0,11.0,0.0,0.0,26.0
30.0,970.0,25.0,0.0,0.0,50.0
226.0,4607.0,246.0,98.0,11.0,390.0
2321.0,23569.0,2746.0,1146.0,118.0,4023.0
3167.0,27509.0,3188.0,1322.0,135.0,5146.0
17.0,764.0,27.0,0.0,0.0,43.0
28.0,1303.0,28.0,10.0,0.0,48.0
178.0,4809.0,158.0,70.0,0.0,272.0
1203.0,21296.0,1261.0,573.0,49.0,1938.0
1686.0,24319.0,1555.0,697.0,26.0,2570.0
0.0,128.0,0.0,0.0,0.0,0.0
0.0,239.0,0.0,0.0,0.0,0.0
39.0,1050.0,16.0,0.0,0.0,62.0
370.0,6022.0,410.0,109.0,0.0,683.0
632.0,9703.0,735.0,139.0,39.0,1264.0
14.0,611.0,0.0,0.0,0.0,24.0
22.0,1085.0,25.0,0.0,0.0,40.0
231.0,3872.0,184.0,78.0,0.0,347.0
1536.0,19951.0,1670.0,623.0,38.0,2614.0
2512.0,30078.0,2633.0,868.0,67.0,4334.0
13.0,451.0,11.0,0.0,0.0,26.0
17.0,806.0,15.0,0.0,0.0,28.0
160.0,3628.0,146.0,56.0,0.0,260.0
1359.0,20945.0,1566.0,611.0,50.0,2362.0
2786.0,38390.0,3046.0,1017.0,141.0,4946.0
24.0,1117.0,29.0,0.0,0.0,57.0
42.0,1635.0,47.0,14.0,0.0,76.0
338.0,6709.0,321.0,140.0,0.0,530.0
3020.0,40320.0,3395.0,1448.0,71.0,5033.0
4685.0,59203.0,4390.0,1823.0,120.0,7366.0
17.0,579.0,23.0,0.0,0.0,36.0
19.0,805.0,15.0,0.0,0.0,32.0
125.0,3013.0,134.0,40.0,0.0,226.0
1117.0,16865.0,1156.0,419.0,49.0,1902.0
2083.0,29854.0,2113.0,630.0,100.0,3661.0
0.0,500.0,11.0,0.0,0.0,15.0
22.0,757.0,21.0,0.0,0.0,37.0
181.0,2917.0,175.0,59.0,0.0,309.0
1309.0,15336.0,1606.0,580.0,65.0,2397.0
1674.0,17296.0,1731.0,647.0,46.0,2794.0
